Pre-Filing ID,Candidate UUID,State,Level,Role,Jurisdiction,Jurisdiction OCDID,Electoral District,Electoral District OCDID,Office Category,Body Name,Office UUID,Office Name,Seat,Number Voting,Number Elected,Candidate Name,Candidate Party Registration,Candidate Party Roll Up,State Party FBID,State Party IG,Incumbent,Phone,Mailing Address,Website (Campaign),Website (Personal),Email,Photo URL,Facebook URL (Campaign),Facebook URL (Gov),Facebook URL (Personal),Twitter Name (Campaign),Twitter Name (Gov),Twitter Name (Personal),Instagram URL (Campaign),Instagram URL (Gov),Instagram URL (Personal),Wiki Word,Youtube (Campaign),Youtube (Gov),Youtube (Personal),County,Source,Source Type,Candidate Status,Inactive Date
,3b386a71-2013-5e7f-a938-dbd11fc470de,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 18,ocd-division/country:us/state:de/sldl:18,State Representative,DE State House,a3c10792-ce53-45a5-9fa3-561fd6cefe06,DE State Representative,District 18,1,1,Gloria Hope Payne,Republican Party,Republican Party,https://www.facebook.com/DelawareRepublicanParty/,https://www.instagram.com/delawarerepublicanparty/,,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,38e0cd78-3a9a-5726-a6c3-460858772cad,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 30,ocd-division/country:us/state:de/sldl:30,State Representative,DE State House,f541dd0f-c43f-44f3-a023-bb730df7cab4,DE State Representative,District 30,1,1,Justin Brant,Libertarian Party,Libertarian Party,https://www.facebook.com/LPDel/,,,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,65fdc256-5371-5cfe-a529-09e08500ac28,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 19,ocd-division/country:us/state:de/sldl:19,State Representative,DE State House,f4de5452-6d55-40f1-9c3a-6751792cf797,DE State Representative,District 19,1,1,Kimberly Williams,Democratic Party,Democratic Party,https://www.facebook.com/DelawareDemocraticParty/,https://www.instagram.com/deldems/,TRUE,,,,,,,,,,,,,,,,Kimberly_Williams_(politician),,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,e42d9dd4-eb8f-5754-8899-7fdf8b46cfe2,DE,administrativeArea2,governmentOfficer,Sussex County,ocd-division/country:us/state:de/county:sussex,Sussex County,ocd-division/country:us/state:de/county:sussex,Sheriff,,1821a174-baa7-4000-b8e5-a7b5730fcc44,Sussex County Sheriff,,1,1,Robert T. Lee,Republican Party,Republican Party,https://www.facebook.com/DelawareRepublicanParty/,https://www.instagram.com/delawarerepublicanparty/,TRUE,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,32df0c1f-baca-5e84-b8f1-b9fde0d49449,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 31,ocd-division/country:us/state:de/sldl:31,State Representative,DE State House,5d5489a1-3465-4f8a-9bb8-dadfa176024d,DE State Representative,District 31,1,1,Sean M. Lynn,Democratic Party,Democratic Party,https://www.facebook.com/DelawareDemocraticParty/,https://www.instagram.com/deldems/,TRUE,,,,,,,,,,,,,,,,Sean_Lynn,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,1f41378b-3148-553f-a066-6a56bb0bcfe7,DE,administrativeArea2,governmentOfficer,Sussex County,ocd-division/country:us/state:de/county:sussex,Sussex County,ocd-division/country:us/state:de/county:sussex,Sheriff,,1821a174-baa7-4000-b8e5-a7b5730fcc44,Sussex County Sheriff,,1,1,James Brittingham,Non-Partisan Delaware Party,Unaffiliated,https://www.facebook.com/NonPartisanDE/,,,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,cc5287c8-48e9-5d11-9f6e-f25e0e61b22e,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 2,ocd-division/country:us/state:de/sldl:2,State Representative,DE State House,1ff4a948-bf4f-44f6-9e29-3dc7bc49bd6f,DE State Representative,District 2,1,1,Stephanie T. Bolden,Democratic Party,Democratic Party,https://www.facebook.com/DelawareDemocraticParty/,https://www.instagram.com/deldems/,TRUE,,,,,,,,,,,,,,,,Stephanie_Bolden,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,08e4f6c1-e7e4-5bf6-a7db-d25aaf1572f4,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 31,ocd-division/country:us/state:de/sldl:31,State Representative,DE State House,5d5489a1-3465-4f8a-9bb8-dadfa176024d,DE State Representative,District 31,1,1,Richard Harpster,Republican Party,Republican Party,https://www.facebook.com/DelawareRepublicanParty/,https://www.instagram.com/delawarerepublicanparty/,,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,80edc60d-0106-5ec0-a830-5f94f7894394,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 20,ocd-division/country:us/state:de/sldl:20,State Representative,DE State House,93b95b7d-d126-4c6b-9677-2a5b4f6e2198,DE State Representative,District 20,1,1,Stell Parker Selby,Democratic Party,Democratic Party,https://www.facebook.com/DelawareDemocraticParty/,https://www.instagram.com/deldems/,,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,b81aaea4-c804-5777-92e0-0ab1ccd45084,DE,administrativeArea2,governmentOfficer,Sussex County,ocd-division/country:us/state:de/county:sussex,Sussex County,ocd-division/country:us/state:de/county:sussex,County Recorder,,5dbd1182-c91e-4e28-b18e-0aeb30a7d62c,Sussex County Register of Wills,,1,1,Greg Fuller,Republican Party,Republican Party,https://www.facebook.com/DelawareRepublicanParty/,https://www.instagram.com/delawarerepublicanparty/,,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
