Pre-Filing ID,Candidate UUID,State,Level,Role,Jurisdiction,Jurisdiction OCDID,Electoral District,Electoral District OCDID,Office Category,Body Name,Office UUID,Office Name,Seat,Number Voting,Number Elected,Candidate Name,Candidate Party Registration,Candidate Party Roll Up,State Party FBID,State Party IG,Incumbent,Phone,Mailing Address,Website (Campaign),Website (Personal),Email,Photo URL,Facebook URL (Campaign),Facebook URL (Gov),Facebook URL (Personal),Twitter Name (Campaign),Twitter Name (Gov),Twitter Name (Personal),Instagram URL (Campaign),Instagram URL (Gov),Instagram URL (Personal),Wiki Word,Youtube (Campaign),Youtube (Gov),Youtube (Personal),County,Source,Source Type,Candidate Status,Inactive Date
,0c8b99a7-8418-5798-a217-bf4d898a3109,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 37th Middlesex district,ocd-division/country:us/state:ma/sldl:37th_middlesex,State Representative,MA State House,edbae8ee-7d53-4699-9573-f78edb80cbcd,MA State Representative,District 37th Middlesex,1,1,Danillo A. Sena,Democratic Party,Democratic Party,,,TRUE,,,,,,,,,,,,,,,,Danillo_Sena,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,fa7eae00-9161-5ae0-a96c-028e381008a4,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 9th Middlesex district,ocd-division/country:us/state:ma/sldl:9th_middlesex,State Representative,MA State House,2bccc6f4-c17f-4859-82be-9e06e3b160ef,MA State Representative,District 9th Middlesex,1,1,Thomas M. Stanley,Democratic Party,Democratic Party,,,TRUE,,,,,,,,,https://www.facebook.com/tom.stanley.31,,,,,,,Thomas_M._Stanley,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,17ae9404-6b51-5e7e-b500-b0cca010dfa5,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 9th Norfolk district,ocd-division/country:us/state:ma/sldl:9th_norfolk,State Representative,MA State House,2b9df8b8-d94b-468f-a041-00a7b7d620ab,MA State Representative,District 9th Norfolk,1,1,Marcus S. Vaughn,Republican Party,Republican Party,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,6692d931-fa8d-5718-b6e0-20055daadb67,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 7th Essex district,ocd-division/country:us/state:ma/sldl:7th_essex,State Representative,MA State House,72f4ded7-08fa-47b3-8013-0f96f361ee5a,MA State Representative,District 7th Essex,1,1,Manny Cruz,Democratic Party,Democratic Party,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,0c9f59d3-fa54-541c-a552-fdcb20b3d3ce,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 7th Hampden district,ocd-division/country:us/state:ma/sldl:7th_hampden,State Representative,MA State House,1a7cf39a-3488-49e8-be36-efadf2090ff3,MA State Representative,District 7th Hampden,1,1,James Chip Harrington,Republican Party,Republican Party,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,aaba5002-3fb5-519b-8120-d99d5f8613b7,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 3rd Barnstable district,ocd-division/country:us/state:ma/sldl:3rd_barnstable,State Representative,MA State House,895026c1-396c-4d20-8387-1ac53868fae4,MA State Representative,District 3rd Barnstable,1,1,Kathleen Fox Alfano,Democratic Party,Democratic Party,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,7e2f9f31-fbcd-5c62-94fe-44f00a1f2cbb,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 7th Hampden district,ocd-division/country:us/state:ma/sldl:7th_hampden,State Representative,MA State House,1a7cf39a-3488-49e8-be36-efadf2090ff3,MA State Representative,District 7th Hampden,1,1,Aaron L. Saunders,Democratic Party,Democratic Party,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,1488fa6b-8f88-56ca-b3f1-c9bf6ba4f6c1,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 9th Norfolk district,ocd-division/country:us/state:ma/sldl:9th_norfolk,State Representative,MA State House,2b9df8b8-d94b-468f-a041-00a7b7d620ab,MA State Representative,District 9th Norfolk,1,1,Kevin Kalkut,Democratic Party,Democratic Party,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,a6666add-9f54-5867-a7b7-3655fbb1a949,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 9th Plymouth district,ocd-division/country:us/state:ma/sldl:9th_plymouth,State Representative,MA State House,1c5ccb05-4efb-46ba-bc6d-ec88c5210dc0,MA State Representative,District 9th Plymouth,1,1,Lawrence P. Novak,Republican Party,Republican Party,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,a720aefe-a54f-5ce4-b279-e4809d2a7280,MA,administrativeArea1,legislatorUpperBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 1st Plymouth & Norfolk district,ocd-division/country:us/state:ma/sldu:1st_plymouth_and_norfolk_district,State Senator,MA State Senate,ab3f8907-19be-438b-9092-e544aace56f1,MA State Senator,District 1st Plymouth and Norfolk,1,1,"Robert William Stephens, Jr.",Democratic Party,Democratic Party,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
